ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Cluster
GOBP_APICAL_JUNCTION_ASSEMBLY	GOBP_APICAL_JUNCTION_ASSEMBLY	3/94	46/16462	0.00229131248263745	0.0221674314148653	0.0167834536255474	CLDN14/MYO1C/AFDN	3	8
GOCC_EXCITATORY_SYNAPSE	GOCC_EXCITATORY_SYNAPSE	3/94	46/16462	0.00229131248263745	0.0221674314148653	0.0167834536255474	BAIAP2/CYFIP1/ITGA3	3	8
GOCC_LATERAL_PLASMA_MEMBRANE	GOCC_LATERAL_PLASMA_MEMBRANE	3/94	46/16462	0.00229131248263745	0.0221674314148653	0.0167834536255474	PTPRO/CORO1C/MYO1C	3	8
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	6/94	237/16462	0.00237055416780592	0.0227991533197804	0.0172617442807415	SIPA1L2/RAC1/PREX2/KALRN/KANK1/ITGA3	6	8
GOBP_APICAL_PROTEIN_LOCALIZATION	GOBP_APICAL_PROTEIN_LOCALIZATION	2/94	13/16462	0.00241529507078111	0.022826632605359	0.0172825494568822	JAM3/MAL	2	8
GOMF_FILAMIN_BINDING	GOMF_FILAMIN_BINDING	2/94	13/16462	0.00241529507078111	0.022826632605359	0.0172825494568822	CRMP1/DPYSL3	2	8
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	2/94	13/16462	0.00241529507078111	0.022826632605359	0.0172825494568822	CYFIP2/CYFIP1	2	8
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION	4/94	99/16462	0.00248117551852237	0.0233144940964602	0.0176519202043697	RHOB/RAC1/KANK1/ITGA3	4	8
GOCC_BASAL_PART_OF_CELL	GOCC_BASAL_PART_OF_CELL	5/94	168/16462	0.00275602912060774	0.0256851040061661	0.0194467615073242	SCRIB/CXADR/SLC4A7/MYO1C/ITGA3	5	8
GOMF_SH3_DOMAIN_BINDING	GOMF_SH3_DOMAIN_BINDING	4/94	102/16462	0.00276487969729984	0.0256851040061661	0.0194467615073242	MICAL1/DPYSL3/ABI1/ABI2	4	8
GOBP_INHIBITORY_SYNAPSE_ASSEMBLY	GOBP_INHIBITORY_SYNAPSE_ASSEMBLY	2/94	14/16462	0.00280739338544205	0.0257870122763919	0.0195239185173261	PLXNB1/SEMA4A	2	8
GOMF_GTPASE_ACTIVATING_PROTEIN_BINDING	GOMF_GTPASE_ACTIVATING_PROTEIN_BINDING	2/94	14/16462	0.00280739338544205	0.0257870122763919	0.0195239185173261	FMNL1/PLXNB1	2	8
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	5/94	169/16462	0.00282744265453097	0.0258260823472521	0.0195534993338925	RHOB/RAC1/CORO1C/ITGA3/SEMA4A	5	8
GOBP_TIGHT_JUNCTION_ORGANIZATION	GOBP_TIGHT_JUNCTION_ORGANIZATION	3/94	50/16462	0.0029102220103611	0.0262884695411072	0.0199035829263429	CLDN14/MYO1C/AFDN	3	8
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY	GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY	3/94	50/16462	0.0029102220103611	0.0262884695411072	0.0199035829263429	JAM3/BAIAP2/CXADR	3	8
GOBP_STEM_CELL_DIFFERENTIATION	GOBP_STEM_CELL_DIFFERENTIATION	5/94	172/16462	0.0030497303443013	0.0273973028183111	0.0207431051758145	SEMA3G/CORO1C/SEMA4C/SEMA6D/SEMA4A	5	8
GOMF_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING	2/94	15/16462	0.00322729124762928	0.0288339955730813	0.0218308571021687	PLEKHA5/SH3PXD2A	2	8
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS	GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS	5/94	176/16462	0.00336542226269595	0.029904703258195	0.0226415136208835	BAIAP2/PLXNB2/CYFIP1/PLXNA4/PLXNB1	5	8
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	6/94	258/16462	0.00360594915262626	0.0316214614935408	0.0239413093297306	SEMA3G/CYFIP1/SEMA4C/PLXNA4/SEMA6D/SEMA4A	6	8
GOCC_CELL_CELL_CONTACT_ZONE	GOCC_CELL_CELL_CONTACT_ZONE	3/94	54/16462	0.00362289984288614	0.0316214614935408	0.0239413093297306	JAM3/SCRIB/AFDN	3	8
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	2/94	16/16462	0.00367466525001392	0.0316214614935408	0.0239413093297306	SCRIB/SLC4A7	2	8
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	2/94	16/16462	0.00367466525001392	0.0316214614935408	0.0239413093297306	MYO1C/SORBS1	2	8
GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	2/94	16/16462	0.00367466525001392	0.0316214614935408	0.0239413093297306	JAM3/RAC1	2	8
GOBP_RENAL_FILTRATION	GOBP_RENAL_FILTRATION	2/94	16/16462	0.00367466525001392	0.0316214614935408	0.0239413093297306	PTPRO/ITGA3	2	8
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	5/94	181/16462	0.00379234984423259	0.0324633088760225	0.0245786906410445	BAIAP2/PTPRO/CYFIP1/ABI2/SEMA4A	5	8
GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY	GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY	6/94	262/16462	0.00388718323349071	0.0331017947226943	0.0250621024264533	VPS11/BAIAP2/GNB4/ABI1/ABI2/SORBS1	6	8
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	4/94	114/16462	0.0041222600819536	0.0349217369637002	0.0264400210328739	PLEKHA1/PREX2/MYO16/PLXNB1	4	8
GOMF_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_BINDING	2/94	17/16462	0.00414919470382224	0.0349687285605637	0.0264755994123437	PLEKHA1/SH3PXD2A	2	8
GOBP_EXOCYTOSIS	GOBP_EXOCYTOSIS	6/94	267/16462	0.00426126860658238	0.0357290983167292	0.0270512922069683	MICAL1/SCRIB/CORO1A/EXOC7/VPS11/SCAMP1	6	8
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	5/94	189/16462	0.00455429630953084	0.0376074467983986	0.0284734314726649	SEMA3G/CORO1C/SEMA4C/SEMA6D/SEMA4A	5	8
GOBP_RESPONSE_TO_INSULIN	GOBP_RESPONSE_TO_INSULIN	5/94	189/16462	0.00455429630953084	0.0376074467983986	0.0284734314726649	BAIAP2/CYFIP1/KANK1/MYO1C/SORBS1	5	8
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	5/94	189/16462	0.00455429630953084	0.0376074467983986	0.0284734314726649	SEMA3G/HMGB2/SEMA4C/SEMA6D/SEMA4A	5	8
GOBP_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS	GOBP_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS	2/94	18/16462	0.00465056161887303	0.0380291527876346	0.0287927144234723	CRMP1/DPYSL3	2	8
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	3/94	59/16462	0.00465188413304399	0.0380291527876346	0.0287927144234723	SCRIB/BAIAP2/NRXN2	3	8
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	4/94	120/16462	0.004945031821415	0.0402245125771817	0.03045486997635	SEMA3G/SEMA4C/SEMA6D/SEMA4A	4	8
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	3/94	61/16462	0.00510794854871329	0.0411403737790455	0.0311482887907017	MAL/HMGB2/DAPK1	3	8
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	3/94	61/16462	0.00510794854871329	0.0411403737790455	0.0311482887907017	RAC1/KANK1/ITGA3	3	8
GOMF_RNA_CAP_BINDING	GOMF_RNA_CAP_BINDING	2/94	19/16462	0.00517845068375059	0.0415037591565305	0.0314234159137807	CYFIP2/CYFIP1	2	8
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	3/94	62/16462	0.00534572430588215	0.0426354109274015	0.0322802145505387	ABLIM1/MYO1C/SORBS1	3	8
GOBP_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	2/94	20/16462	0.00573254924611231	0.0448455407530795	0.0339535528251225	KANK1/ITGA3	2	8
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	2/94	20/16462	0.00573254924611231	0.0448455407530795	0.0339535528251225	PTPRO/ALCAM	2	8
GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	2/94	20/16462	0.00573254924611231	0.0448455407530795	0.0339535528251225	JAM3/ITGA3	2	8
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	2/94	20/16462	0.00573254924611231	0.0448455407530795	0.0339535528251225	MICAL1/CYP51A1	2	8
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	6/94	285/16462	0.00583111864958479	0.0453994237717673	0.0343729099343946	SCRIB/EXOC7/MAL/AFDN/ITGA3/SORBS1	6	8
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS	5/94	202/16462	0.00601612451640211	0.0466178368924998	0.0352953975120423	BAIAP2/CYFIP1/KANK1/MYO1C/SORBS1	5	8
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	3/94	66/16462	0.00636292780386434	0.0489382486788564	0.0370522327032578	RAC1/GNB4/GRAMD1A	3	8
GOBP_PHAGOCYTOSIS	GOBP_PHAGOCYTOSIS	4/94	129/16462	0.00637544157100698	0.0489382486788564	0.0370522327032578	RAC1/CORO1A/CORO1C/MYO18A	4	8
GOBP_FOCAL_ADHESION_ASSEMBLY	GOBP_FOCAL_ADHESION_ASSEMBLY	3/94	67/16462	0.00663398424107836	0.0504491359728517	0.0381961589596482	RAC1/CORO1C/SORBS1	3	8
GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	3/94	67/16462	0.00663398424107836	0.0504491359728517	0.0381961589596482	RAC1/BAIAP2/CASS4	3	8
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	3/94	68/16462	0.00691183009296248	0.0512474054090526	0.038800546442006	PRPS1/CRMP1/DPYSL3	3	8
GOBP_PROTEIN_LOCALIZATION_TO_ENDOSOME	GOBP_PROTEIN_LOCALIZATION_TO_ENDOSOME	2/94	22/16462	0.00691813743206509	0.0512474054090526	0.038800546442006	SCRIB/TMEM30A	2	8
GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	2/94	22/16462	0.00691813743206509	0.0512474054090526	0.038800546442006	JAM3/RAC1	2	8
GOBP_REGULATION_OF_NEUTROPHIL_MIGRATION	GOBP_REGULATION_OF_NEUTROPHIL_MIGRATION	2/94	22/16462	0.00691813743206509	0.0512474054090526	0.038800546442006	JAM3/RAC1	2	8
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	2/94	22/16462	0.00691813743206509	0.0512474054090526	0.038800546442006	BAIAP2/ABI2	2	8
GOCC_TRANS_GOLGI_NETWORK	GOCC_TRANS_GOLGI_NETWORK	5/94	209/16462	0.00692701932440405	0.0512474054090526	0.038800546442006	RAC1/ARL1/MYO18A/ARFIP1/SCAMP1	5	8
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	5/94	213/16462	0.00748881619368008	0.0551541192642654	0.0417584060870923	CYFIP2/CYFIP1/WASF1/MYO1C/ITGA3	5	8
GOCC_MEMBRANE_MICRODOMAIN	GOCC_MEMBRANE_MICRODOMAIN	5/94	215/16462	0.00778132028655257	0.0568345622062317	0.0430307066824584	CORO1C/CXADR/MAL/MYO1C/SORBS1	5	8
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	3/94	71/16462	0.00778650882825437	0.0568345622062317	0.0430307066824584	RAC1/BAIAP2/NCKAP1	3	8
GOBP_NEURON_MIGRATION	GOBP_NEURON_MIGRATION	4/94	138/16462	0.00805743420771057	0.0585506885760302	0.0443300239918954	RAC1/PLXNB2/KIRREL3/ITGA3	4	8
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	2/94	24/16462	0.0082048773995456	0.0593582944613144	0.0449414803067798	CTNND1/AFDN	2	8
GOCC_PLASMA_MEMBRANE_RAFT	GOCC_PLASMA_MEMBRANE_RAFT	3/94	74/16462	0.00872369262364935	0.0628336451086638	0.047572745306801	CORO1C/MAL/SORBS1	3	8
GOBP_MESENCHYME_DEVELOPMENT	GOBP_MESENCHYME_DEVELOPMENT	5/94	222/16462	0.0088677967240309	0.063591437034169	0.0481464863686996	SEMA3G/CORO1C/SEMA4C/SEMA6D/SEMA4A	5	8
GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	9/72	119/16462	2.30571403522558e-09	4.14797954937082e-06	3.13091695309579e-06	DYNLL2/DCTN6/DCTN1/HDAC6/DCTN2/ACTR1A/KIF3A/DCTN4/KIF21A	9	9
GOCC_DYNACTIN_COMPLEX	GOCC_DYNACTIN_COMPLEX	4/72	9/16462	4.16819721072083e-08	3.74929339104338e-05	2.82998652727888e-05	DCTN6/DCTN2/ACTR1A/DCTN4	4	9
GOCC_CLATHRIN_COATED_PIT	GOCC_CLATHRIN_COATED_PIT	5/72	64/16462	8.67258772010255e-06	0.00520066176948816	0.00392548707330957	NECAP1/SNAP91/AP2A2/REPS1/MYO6	5	9
GOCC_DYNEIN_COMPLEX	GOCC_DYNEIN_COMPLEX	4/72	36/16462	1.78225213366542e-05	0.00801567897116022	0.00605027698007471	DYNLL2/DCTN1/DCTN2/DCTN4	4	9
GOMF_SPECTRIN_BINDING	GOMF_SPECTRIN_BINDING	3/72	20/16462	8.6697256730133e-05	0.0311936729715018	0.0235451497224993	ANK2/DCTN2/KIF3A	3	9
GOCC_BRISC_COMPLEX	GOCC_BRISC_COMPLEX	2/72	5/16462	0.000187048425657288	0.0436350359360755	0.0329359564421973	SHMT2/BABAM1	2	9
GOMF_LONG_CHAIN_FATTY_ACYL_COA_BINDING	GOMF_LONG_CHAIN_FATTY_ACYL_COA_BINDING	2/72	5/16462	0.000187048425657288	0.0436350359360755	0.0329359564421973	ACOT12/ACOT7	2	9
GOBP_REGULATION_OF_AEROBIC_RESPIRATION	GOBP_REGULATION_OF_AEROBIC_RESPIRATION	3/72	26/16462	0.000194041293767984	0.0436350359360755	0.0329359564421973	ARL2/SHMT2/MYC	3	9
GOBP_NEUTROPHIL_DIFFERENTIATION	GOBP_NEUTROPHIL_DIFFERENTIATION	2/72	6/16462	0.000279777911504473	0.0540502568357231	0.0407974203903238	FASN/LEF1	2	9
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS	GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS	7/72	300/16462	0.000332974447374452	0.0540502568357231	0.0407974203903238	ARL2/ACOT12/ACOT7/TDO2/PAICS/DMAC2L/MYC	7	9
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	4/72	78/16462	0.000375806307963908	0.0540502568357231	0.0407974203903238	ARL2/DCTN1/HDAC6/TBCD	4	9
GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	2/72	7/16462	0.000390579954899611	0.0540502568357231	0.0407974203903238	STAT1/MYC	2	9
GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	2/72	7/16462	0.000390579954899611	0.0540502568357231	0.0407974203903238	DYNLL2/MYO6	2	9
GOBP_NEURON_PROJECTION_ORGANIZATION	GOBP_NEURON_PROJECTION_ORGANIZATION	4/72	81/16462	0.000434027127887299	0.0557724859335179	0.0420973680432042	CAMK2B/DCTN1/HDAC6/DNM3	4	9
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	5/72	150/16462	0.000503130370328511	0.0580651571971974	0.0438278884669171	ACOT7/SHMT2/PAICS/DMAC2L/MYC	5	9
GOMF_THIOLESTER_HYDROLASE_ACTIVITY	GOMF_THIOLESTER_HYDROLASE_ACTIVITY	3/72	36/16462	0.000516421631548171	0.0580651571971974	0.0438278884669171	ACOT12/ACOT7/FASN	3	9
GOBP_REGULATION_OF_CELLULAR_RESPIRATION	GOBP_REGULATION_OF_CELLULAR_RESPIRATION	3/72	38/16462	0.000606348931612477	0.0616623913415015	0.0465430998686621	ARL2/SHMT2/MYC	3	9
GOMF_S100_PROTEIN_BINDING	GOMF_S100_PROTEIN_BINDING	2/72	9/16462	0.000665780838874033	0.0616623913415015	0.0465430998686621	CACYBP/S100A1	2	9
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	3/72	40/16462	0.000705705893725822	0.0616623913415015	0.0465430998686621	HDAC6/STAT1/LEF1	3	9
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA	GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA	2/72	10/16462	0.000829871690004188	0.0616623913415015	0.0465430998686621	CAPN2/STAT1	2	9
GOBP_MICROTUBULE_ANCHORING_AT_CENTROSOME	GOBP_MICROTUBULE_ANCHORING_AT_CENTROSOME	2/72	10/16462	0.000829871690004188	0.0616623913415015	0.0465430998686621	DCTN1/KIF3A	2	9
GOBP_PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	GOBP_PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	2/72	10/16462	0.000829871690004188	0.0616623913415015	0.0465430998686621	SHMT2/PAICS	2	9
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	3/72	43/16462	0.000873252861970831	0.0616623913415015	0.0465430998686621	SNAP91/AP2A2/DNAJC6	3	9
GOMF_TAU_PROTEIN_BINDING	GOMF_TAU_PROTEIN_BINDING	3/72	43/16462	0.000873252861970831	0.0616623913415015	0.0465430998686621	DCTN1/STUB1/HDAC6	3	9
GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE	GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE	4/72	98/16462	0.000891174082756553	0.0616623913415015	0.0465430998686621	CAPN2/HDAC6/STAT1/SLC8A1	4	9
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	GOMF_TRANSCRIPTION_COREGULATOR_BINDING	4/72	98/16462	0.000891174082756553	0.0616623913415015	0.0465430998686621	HDAC6/STAT1/LEF1/MYC	4	9
GOBP_MACROAUTOPHAGY	GOBP_MACROAUTOPHAGY	9/31	281/16462	1.57098275485475e-09	1.0415615664687e-06	6.6312008915448e-07	STX12/SNX32/SNX30/ATP6V0A1/SNX5/SNX4/ARL8B/ATP6V1A/ATP6V1H	9	10
GOBP_REGULATION_OF_MACROAUTOPHAGY	GOBP_REGULATION_OF_MACROAUTOPHAGY	7/31	143/16462	7.11296248683018e-09	2.3579470643842e-06	1.50120945116784e-06	SNX32/SNX30/ATP6V0A1/SNX5/SNX4/ATP6V1A/ATP6V1H	7	10
GOMF_TRANSFERRIN_RECEPTOR_BINDING	GOMF_TRANSFERRIN_RECEPTOR_BINDING	3/31	9/16462	5.04040088927888e-07	0.000111392859653063	7.09193247930117e-05	TF/SNX4/SNX1	3	10
GOBP_REGULATION_OF_AUTOPHAGY	GOBP_REGULATION_OF_AUTOPHAGY	7/31	292/16462	9.3856415950244e-07	0.000155567009437529	9.90432178843364e-05	SNX32/SNX30/ATP6V0A1/SNX5/SNX4/ATP6V1A/ATP6V1H	7	10
GOCC_EARLY_ENDOSOME_MEMBRANE	GOCC_EARLY_ENDOSOME_MEMBRANE	5/31	134/16462	4.7527458771476e-06	0.000630214103309771	0.000401231809839197	STX12/SNX30/SNX5/SNX4/SNX1	5	10
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	3/31	23/16462	1.04386746919635e-05	0.00115347355346196	0.000734369921311815	ATP6V0A1/ATP6V1A/ATP6V1H	3	10
GOBP_DEHYDROASCORBIC_ACID_TRANSPORT	GOBP_DEHYDROASCORBIC_ACID_TRANSPORT	2/31	5/16462	3.4198973568395e-05	0.0025193243862051	0.00160395185975747	SLC2A3/SLC2A14	2	10
GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2/31	5/16462	3.4198973568395e-05	0.0025193243862051	0.00160395185975747	SLC2A3/SLC2A14	2	10
GOMF_DEHYDROASCORBIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_DEHYDROASCORBIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2/31	5/16462	3.4198973568395e-05	0.0025193243862051	0.00160395185975747	SLC2A3/SLC2A14	2	10
GOBP_ENDOSOMAL_TRANSPORT	GOBP_ENDOSOMAL_TRANSPORT	5/31	207/16462	3.89995378458818e-05	0.00258566935918196	0.00164619101854722	SNX32/SNX5/SNX4/SNX1/ARL8B	5	10
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX	GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX	3/31	37/16462	4.49876068243571e-05	0.00271152575677716	0.00172631869249447	ATP6V0A1/ATP6V1A/ATP6V1H	3	10
GOMF_PHOSPHATIDYLINOSITOL_BINDING	GOMF_PHOSPHATIDYLINOSITOL_BINDING	5/31	218/16462	4.99175932783292e-05	0.00275794702862769	0.00175587323724649	SNX32/SNX30/SNX5/SNX4/SNX1	5	10
GOBP_GLUCOSE_IMPORT	GOBP_GLUCOSE_IMPORT	3/31	51/16462	0.000118442093242118	0.00604054675534801	0.00384577161053354	INSR/SLC2A3/SLC2A14	3	10
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_V1_DOMAIN	GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_V1_DOMAIN	2/31	11/16462	0.000186773403598278	0.00873073782213657	0.00555850736949553	ATP6V1A/ATP6V1H	2	10
GOBP_CYTOSOLIC_TRANSPORT	GOBP_CYTOSOLIC_TRANSPORT	4/31	158/16462	0.000210024577219606	0.00873073782213657	0.00555850736949553	SNX32/SNX5/SNX1/ARL8B	4	10
GOCC_RETROMER_COMPLEX	GOCC_RETROMER_COMPLEX	2/31	12/16462	0.000223865072362476	0.00873073782213657	0.00555850736949553	SNX5/SNX1	2	10
GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2/31	12/16462	0.000223865072362476	0.00873073782213657	0.00555850736949553	SLC2A3/SLC2A14	2	10
GOBP_VACUOLE_ORGANIZATION	GOBP_VACUOLE_ORGANIZATION	4/31	164/16462	0.000242220306830683	0.00892178130159683	0.00568013701983064	STX12/SNX30/SNX4/ARL8B	4	10
GOMF_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2/31	15/16462	0.00035489689379445	0.011764832029286	0.00749019233745128	ATP6V1A/ATP6V1H	2	10
GOMF_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2/31	15/16462	0.00035489689379445	0.011764832029286	0.00749019233745128	ATP6V1A/ATP6V1H	2	10
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	3/31	76/16462	0.000387298760552255	0.0122275751545783	0.00778480215445885	INSR/SLC2A3/SLC2A14	3	10
